Concurso;1Dezena;2Dezena;3Dezena;4Dezena;5Dezena;6Dezena
1836;59;18;45;60;8;15
1837;41;48;57;50;44;54
1838;59;24;30;8;57;5
1839;28;32;22;56;58;7
1840;33;41;48;15;17;47
1841;6;51;13;38;49;3
1842;18;43;22;24;16;34
1843;28;26;33;41;8;54
1844;4;3;37;39;48;50
1845;9;3;29;13;30;51
1846;49;26;30;34;24;6
1847;45;1;57;49;50;6
1848;58;41;50;40;9;55
1849;35;27;3;11;44;5
1850;24;32;23;40;41;38
1851;35;22;8;37;21;18
1852;29;13;49;50;45;17
1853;2;41;39;1;34;45
1854;59;30;43;31;34;25
1855;6;38;24;39;15;10
1856;14;9;2;32;22;37
1857;53;35;52;25;23;13
1858;55;30;28;59;33;22
1859;13;26;1;21;14;51
1860;10;40;30;44;36;60
1861;45;9;60;2;35;4
1862;8;49;35;42;56;2
;;;;;;
1863;23;45;16;58;59;56
1864;5;4;37;40;60;14
1865;42;5;32;37;1;31
1866;14;36;60;38;17;44
1867;3;43;21;17;22;10
1868;25;5;31;1;28;23
1869;11;26;24;52;40;23
1870;30;40;33;18;20;32
1871;17;58;33;52;11;3
1872;39;11;56;46;13;25
1873;25;5;53;28;41;54
1874;43;28;10;37;47;44
1875;53;45;47;1;52;55
1876;7;18;51;41;44;39
1877;35;13;32;16;24;23
1878;56;26;40;16;57;12
1879;20;58;10;59;57;5
1880;19;51;56;16;5;37
1881;30;10;53;44;3;56
1882;41;35;37;10;19;9
1883;28;59;16;47;27;60
1884;38;1;32;4;23;59
1885;59;7;18;23;32;14
1886;7;40;54;15;3;45
1887;23;56;41;46;34;11
1888;48;1;18;45;17;10
;;;;;;
1889;30;25;23;44;28;16
1890;5;24;51;22;11;53
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1891;47;1;3;19;23;58
1892;50;22;6;37;30;17
1893;17;58;45;19;28;16
1894;31;35;57;54;21;53
1895;3;5;2;34;10;15
1896;25;6;14;21;3;15
1897;52;9;58;47;22;25
1898;53;12;58;55;34;45
1899;48;35;44;23;36;20
1900;46;11;8;43;28;27
1901;30;53;26;11;37;12
1902;25;18;2;21;9;7
;;;;;;
;;;;;;
1903;9;43;10;15;45;28
1904;21;18;56;15;51;12
1905;43;54;29;57;35;56
1906;27;40;33;6;39;60
1907;3;48;44;35;25;38
1908;10;27;57;13;23;4
1909;47;43;45;40;57;11
1910;9;6;39;15;22;48
1911;32;16;33;23;18;30
1912;42;10;33;36;13;35
1913;14;56;52;17;4;43
1914;39;33;29;16;44;42
1915;57;21;2;33;20;48
1916;3;50;18;23;9;52
1917;4;36;25;21;46;33
1918;22;17;50;38;20;16
1919;60;28;54;37;45;11
1920;39;45;31;25;43;33
1921;19;10;16;15;28;35
1922;20;41;22;36;43;38
1923;46;34;59;45;9;42
1924;16;52;53;58;30;12
1925;47;43;38;1;17;45
1926;46;3;2;30;14;20
1927;11;5;30;31;13;19
1928;28;51;59;26;53;10
1929;10;52;23;36;3;43
1930;17;56;37;52;18;4
1931;34;8;2;15;9;22
1932;55;21;16;44;29;10
1933;15;19;35;59;14;2
1934;56;39;35;8;23;59
1935;24;17;10;1;3;23
;;;;;;
;;;;;;
1936;51;40;52;24;12;3
1937;10;29;24;43;6;55
1938;10;54;42;16;40;32
1939;39;29;24;52;7;45
1940;36;16;9;47;13;17
1941;38;1;9;48;49;24
1942;48;20;43;18;6;24
1943;43;11;39;9;30;12
1944;8;57;47;39;9;59
1945;8;54;21;10;45;4
1946;6;39;4;44;52;60
1947;52;59;55;40;8;33
1948;28;33;20;24;57;12
1949;30;1;14;56;22;6
1950;32;21;10;48;34;57
1951;55;14;16;21;33;19
1952;9;21;53;36;52;38
1953;45;29;42;9;43;26
1954;40;9;49;25;35;33
1955;15;41;45;33;36;27
1956;20;40;28;5;8;45
1957;23;47;29;2;14;22
1958;55;34;22;20;24;15
1959;56;43;21;8;27;35
1960;43;39;18;25;37;1
1961;50;30;25;17;32;26
1962;39;5;6;53;15;25
1963;34;60;5;4;7;42
1964;32;27;48;36;2;50
1965;28;26;55;38;48;35
1966;19;10;32;60;13;40
1967;32;39;13;54;30;46
1968;35;48;44;39;36;52
1969;30;59;20;32;8;48
1970;10;18;24;5;39;52
1971;54;10;52;41;44;4
1972;20;9;59;54;16;57
1973;17;16;60;12;52;1
1974;19;57;38;54;4;27
1975;8;24;47;26;11;57
1976;52;14;19;12;59;25
1977;28;3;32;34;37;16
1978;6;2;57;22;55;44
1979;38;23;45;32;29;22
1980;18;16;12;34;37;17
1981;15;6;39;19;37;53
1982;46;24;20;4;50;14
1983;14;22;6;5;10;36
1984;43;32;21;50;35;29
