Concurso;1Dezena;2Dezena;3Dezena;4Dezena;5Dezena;6Dezena
750;58;17;54;10;42;33
751;4;25;38;50;20;7
752;25;4;29;42;24;23
753;59;35;43;22;7;2
754;4;42;34;50;3;13
755;59;30;47;12;4;49
756;37;50;41;5;38;27
757;17;32;12;18;58;30
758;47;59;1;23;36;43
759;59;39;30;31;48;45
760;12;17;60;44;46;45
761;56;29;17;13;27;40
762;39;9;21;12;37;54
763;40;47;1;48;9;26
764;7;3;55;47;53;45
765;3;37;50;16;30;10
766;1;50;19;42;24;58
767;22;50;32;38;54;15
768;33;37;59;30;4;8
769;20;21;50;29;12;16
770;4;34;25;35;48;12
771;29;46;34;47;21;14
772;38;51;52;60;10;35
773;3;5;51;29;34;14
774;37;5;54;58;46;10
775;27;12;46;47;42;50
776;57;35;60;41;3;15
777;14;50;23;2;28;56
778;45;20;36;37;31;51
779;36;54;52;25;29;26
780;10;50;28;51;59;7
781;10;54;8;39;56;13
782;11;23;59;42;35;2
783;43;21;48;8;4;32
784;42;56;8;37;27;53
785;35;5;37;8;48;17
786;27;31;26;11;10;41
787;37;31;20;60;34;54
788;31;57;17;19;29;44
789;60;39;31;38;6;50
790;22;2;19;28;43;6
791;42;35;19;9;14;58
792;43;56;9;45;29;34
793;3;51;33;15;16;57
794;56;47;55;38;42;3
795;14;36;21;29;26;48
796;19;24;43;34;39;5
797;58;48;52;47;12;6
798;32;9;4;52;29;3
799;29;35;19;57;42;55
800;1;7;56;11;37;38
801;20;22;11;19;48;42
802;14;24;60;6;18;48
803;10;57;28;3;5;21
804;13;59;37;56;3;47
805;30;2;48;60;43;36
806;60;41;47;26;35;18
807;8;27;2;32;56;49
808;15;21;31;46;2;57
809;25;23;11;5;30;15
810;4;33;1;48;5;37
811;32;57;28;41;10;47
;;;;;;
812;57;39;54;11;38;13
813;23;15;56;46;9;45
814;11;2;46;50;8;41
815;57;50;9;39;37;19
816;21;47;40;52;30;20
817;34;43;29;30;10;52
818;44;41;22;8;9;25
819;51;5;58;46;25;19
820;17;45;32;21;10;46
;;;;;;
821;4;29;38;36;33;42
822;4;17;41;10;27;52
823;15;26;59;1;54;51
824;33;48;6;7;20;9
825;28;21;40;10;41;47
826;45;6;8;7;53;27
827;24;56;30;51;42;18
828;23;50;53;42;28;38
829;32;50;14;47;10;56
830;53;51;2;41;13;49
831;3;50;48;42;32;33
832;17;49;15;33;39;23
833;53;58;57;16;46;13
834;44;10;17;16;51;34
835;58;31;57;49;33;18
836;28;22;38;17;52;59
837;16;5;24;34;6;60
838;9;30;47;38;23;44
839;11;18;8;7;37;43
840;43;29;35;59;31;17
841;36;51;32;22;38;7
842;51;44;60;9;7;30
843;34;48;1;16;45;36
844;54;24;44;57;34;16
845;40;48;19;20;14;52
846;47;54;2;50;3;44
847;42;14;44;27;15;48
848;56;34;17;32;47;27
849;8;39;9;58;44;49
850;60;22;59;25;44;7
851;16;32;35;58;19;3
;;;;;;
;;;;;;
852;14;38;6;23;44;34
853;51;30;59;46;38;56
854;17;3;24;27;44;25
855;42;3;24;53;43;31
856;11;40;41;47;15;42
857;17;59;49;2;3;50
858;31;37;54;23;4;18
;;;;;;
859;46;47;12;57;34;9
860;22;8;17;42;44;2
